id_2022,title_english,type,score_2022,scored_by_2022,status,episodes_2022,source,members_2022,favorites_2022,episode_duration,pg_rating,sfw,genres_2022,themes,demographics,synopsis_2022,background,id_2020,synopsis_2020,genre_2020,aired,episodes_2020,members_2020,popularity_2020,ranked_2020,score_2020
38524,attack on titan season 3 part 2,tv,9.07,1322101,finished airing,10.0,manga,1871324,51754,0 days 00:23:55,R - 17+ (violence & profanity),True,action drama,gore military survival,shounen,seeking to restore humanity diminishing hope the survey corp embark on a mission to retake wall maria where the battle against the merciless titan take the stage once again returning to the tattered shiganshina district that wa once his home eren yeager and the corp find the town oddly unoccupied by titan even after the outer gate is plugged they strangely encounter no opposition the mission progress smoothly until armin arlert highly suspicious of the enemy absence discovers distressing sign of a potential scheme against them shingeki no kyojin season 3 part 2 follows eren a he vow to take back everything that wa once his alongside him the survey corp strivethrough countless sacrificesto carve a path towards victory and uncover the secret locked away in the yeager family basement written by mal rewrite,shingeki no kyojin adapts content from volume 1822 of hajime isayamas awardwinning manga of the same name,38524.0,seeking to restore humanity diminishing hope the survey corp embark on a mission to retake wall maria where the battle against the merciless titan take the stage once again returning to the tattered shiganshina district that wa once his home eren yeager and the corp find the town oddly unoccupied by titan even after the outer gate is plugged they strangely encounter no opposition the mission progress smoothly until armin arlert highly suspicious of the enemy absence discovers distressing sign of a potential scheme against them shingeki no kyojin season 3 part 2 follows eren a he vow to take back everything that wa once his alongside him the survey corp strivethrough countless sacrificesto carve a path towards victory and uncover the secret locked away in the yeager family basement written by mal rewrite,action drama fantasy military mystery shounen super power,"Apr 29, 2019 to Jul 1, 2019",10.0,446370.0,175.0,5.0,9.07
9253,steinsgate,tv,9.08,1248451,finished airing,24.0,visual novel,2262118,172591,0 days 00:24:20,PG-13 - Teens 13 or older,True,drama scifi suspense,psychological time travel,,eccentric scientist rintarou okabe ha a neverending thirst for scientific exploration together with his ditzy but wellmeaning friend mayuri shiina and his roommate itaru hashida rintarou found the future gadget laboratory in the hope of creating technological innovation that baffle the human psyche despite claim of grandeur the only notable gadget the trio have created is a microwave that ha the mystifying power to turn banana into green goo however when rintarou decides to attend neuroscientist kurisu makises conference on time travel he experience a series of strange event that lead him to believe that there is more to the phone microwave gadget than meet the eye apparently able to send text message into the past using the microwave rintarou dabbles further with the time machine attracting the ire and attention of the mysterious organization sern due to the novel discovery rintarou and his friend find themselves in an everpresent danger a he work to mitigate the damage his invention ha caused to the timeline he is not only fighting a battle to save his loved one but also one against his degrading sanity written by mal rewrite,steinsgate is based on 5pb and nitroplus released in 2009,9253.0,the selfproclaimed mad scientist rintarou okabe rent out a room in a rickety old building in akihabara where he indulges himself in his hobby of inventing prospective future gadget with fellow lab member mayuri shiina his airheaded childhood friend and hashida itaru a perverted hacker nicknamed daru the three pas the time by tinkering with their most promising contraption yet a machine dubbed the phone microwave which performs the strange function of morphing banana into pile of green gel though miraculous in itself the phenomenon doesnt provide anything concrete in okabes search for a scientific breakthrough that is until the lab member are spurred into action by a string of mysterious happening before stumbling upon an unexpected successthe phone microwave can send email to the past altering the flow of history adapted from the critically acclaimed visual novel by 5pb and nitroplus steinsgate take okabe through the depth of scientific theory and practicality forced across the diverging thread of past and present okabe must shoulder the burden that come with holding the key to the realm of time written by mal rewrite,thriller scifi,"Apr 6, 2011 to Sep 14, 2011",24.0,1331710.0,7.0,2.0,9.11
28851,a silent voice,movie,8.95,1392476,finished airing,1.0,manga,1992945,77132,0 days 02:10:03,PG-13 - Teens 13 or older,True,drama,romantic subtext,shounen,a a wild youth elementary school student shouya ishida sought to beat boredom in the cruelest way when the deaf shouko nishimiya transfer into his class shouya and the rest of his class thoughtlessly bully her for fun however when her mother notifies the school he is singled out and blamed for everything done to her with shouko transferring out of the school shouya is left at the mercy of his classmate he is heartlessly ostracized all throughout elementary and middle school while teacher turn a blind eye now in his third year of high school shouya is still plagued by his wrongdoing a a young boy sincerely regretting his past action he set out on a journey of redemption to meet shouko once more and make amends koe no katachi tell the heartwarming tale of shouyas reunion with shouko and his honest attempt to redeem himself all while being continually haunted by the shadow of his past written by mal rewrite,winner of the excellence award on the 20th japan medium art festival,28851.0,a a wild youth elementary school student shouya ishida sought to beat boredom in the cruelest way when the deaf shouko nishimiya transfer into his class shouya and the rest of his class thoughtlessly bully her for fun however when her mother notifies the school he is singled out and blamed for everything done to her with shouko transferring out of the school shouya is left at the mercy of his classmate he is heartlessly ostracized all throughout elementary and middle school while teacher turn a blind eye now in his third year of high school shouya is still plagued by his wrongdoing a a young boy sincerely regretting his past action he set out on a journey of redemption to meet shouko once more and make amends koe no katachi tell the heartwarming tale of shouyas reunion with shouko and his honest attempt to redeem himself all while being continually haunted by the shadow of his past written by mal rewrite,drama school shounen,"Sep 17, 2016",1.0,842277.0,53.0,10.0,9.01
32281,your name,movie,8.86,1669497,finished airing,1.0,original,2383752,82278,0 days 01:46:31,PG-13 - Teens 13 or older,True,drama supernatural,romantic subtext,,mitsuha miyamizu a high school girl yearns to live the life of a boy in the bustling city of tokyoa dream that stand in stark contrast to her present life in the countryside meanwhile in the city taki tachibana life a busy life a a high school student while juggling his parttime job and hope for a future in architecture one day mitsuha awakens in a room that is not her own and suddenly find herself living the dream life in tokyobut in takis body elsewhere taki find himself living mitsuhas life in the humble countryside in pursuit of an answer to this strange phenomenon they begin to search for one another kimi no na wa revolves around mitsuha and takis action which begin to have a dramatic impact on each others life weaving them into a fabric held together by fate and circumstance written by mal rewrite,kimi no na wa won the lafca animation award in 2016 and the best animated film in 2017 by mainichi film award it also won the grand prize award on the 20th japan medium art festival,32281.0,mitsuha miyamizu a high school girl yearns to live the life of a boy in the bustling city of tokyoa dream that stand in stark contrast to her present life in the countryside meanwhile in the city taki tachibana life a busy life a a high school student while juggling his parttime job and hope for a future in architecture one day mitsuha awakens in a room that is not her own and suddenly find herself living the dream life in tokyobut in takis body elsewhere taki find himself living mitsuhas life in the humble countryside in pursuit of an answer to this strange phenomenon they begin to search for one another kimi no na wa revolves around mitsuha and takis action which begin to have a dramatic impact on each others life weaving them into a fabric held together by fate and circumstance written by mal rewrite,romance supernatural school drama,"Aug 26, 2016",1.0,1139878.0,15.0,4.0,9.09
2904,code geass lelouch of the rebellion r2,tv,8.91,1076510,finished airing,25.0,original,1582909,71167,0 days 00:24:00,R - 17+ (violence & profanity),True,action drama scifi,mecha military super power,,one year ha passed since the black rebellion a failed uprising against the holy britannian empire led by the masked vigilante zero who is now missing at a loss without their revolutionary leader area 11 resistance groupthe black knightsfind themselves too powerless to combat the brutality inflicted upon the eleven by britannia which ha increased significantly in order to crush any hope of a future revolt lelouch lamperouge having lost all memory of his double life is living peacefully alongside his friend a a high school student at ashford academy his former partner cc unable to accept this turn of event take it upon herself to remind him of his past purpose hoping that the mastermind zero will rise once again to finish what he started in this thrilling conclusion to the series written by mal rewrite,code geass hangyaku no lelouch r2 is an original anime series by sunrise animation studio with original character design by the allfemale japanese manga artist group clamp manga and light novel based off the show have been published by kadokawa shoten the show ha sold million of dvd and bluray volume and is extremely popular in both japan and north america the show is known for it multigenre appeal and for it diverse cast of character who face many moral dilemma over the course of the series the series won the best tv animation award at the thirteenth animation kobe event in 2008 and the most popular anime award at the animage s 30th annual anime grand prix,2904.0,one year ha passed since the black rebellion a failed uprising against the holy britannian empire led by the masked vigilante zero who is now missing at a loss without their revolutionary leader area 11 resistance groupthe black knightsfind themselves too powerless to combat the brutality inflicted upon the eleven by britannia which ha increased significantly in order to crush any hope of a future revolt lelouch lamperouge having lost all memory of his double life is living peacefully alongside his friend a a high school student at ashford academy his former partner cc unable to accept this turn of event take it upon herself to remind him of his past purpose hoping that the mastermind zero will rise once again to finish what he started in this thrilling conclusion to the series written by mal rewrite,action military scifi super power drama mecha,"Apr 6, 2008 to Sep 28, 2008",25.0,992196.0,27.0,17.0,8.93
199,spirited away,movie,8.78,1145304,finished airing,1.0,original,1627238,28697,0 days 02:04:35,PG - Children,True,adventure award winning supernatural,mythology,,stubborn spoiled and naïve 10yearold chihiro ogino is le than pleased when she and her parent discover an abandoned amusement park on the way to their new house cautiously venturing inside she realizes that there is more to this place than meet the eye a strange thing begin to happen once dusk fall ghostly apparition and food that turn her parent into pig are just the startchihiro ha unwittingly crossed over into the spirit world now trapped she must summon the courage to live and work amongst spirit with the help of the enigmatic haku and the cast of unique character she meet along the way vivid and intriguing sen to chihiro no kamikakushi tell the story of chihiros journey through an unfamiliar world a she strives to save her parent and return home written by mal rewrite,sen to chihiro no kamikakushi held the record of being the highestgrossing film in japanese history from 2001 until 2020 a of december 2020 it ha amassed a total of 3168 billion yen from japanese box office sale and a total of 3958 million worldwide this critically acclaimed film ha won numerous award including the academy awardmore commonly known a the oscarfor best animated feature at the 75th academy award in 2003 a well a the golden bear at the 2002 berlin international film festival alongside bloody sunday it is also among the top 10 in the british film institute list of the 50 film you should see by the age of 14 the english version of isen to chihiro no kamikakushi wa dubbed by walt disney picture and premiered in 2002 the film wa released on dvd and vhs format in north america by buena vista home entertainment in 2003,199.0,stubborn spoiled and naïve 10yearold chihiro ogino is le than pleased when she and her parent discover an abandoned amusement park on the way to their new house cautiously venturing inside she realizes that there is more to this place than meet the eye a strange thing begin to happen once dusk fall ghostly apparition and food that turn her parent into pig are just the startchihiro ha unwittingly crossed over into the spirit world now trapped she must summon the courage to live and work amongst spirit with the help of the enigmatic haku and the cast of unique character she meet along the way vivid and intriguing sen to chihiro no kamikakushi tell the story of chihiros journey through an unfamiliar world a she strives to save her parent and return home written by mal rewrite,adventure supernatural drama,"Jul 20, 2001",1.0,913212.0,40.0,20.0,8.9
1575,code geass lelouch of the rebellion,tv,8.7,1262624,finished airing,25.0,original,2007278,99888,0 days 00:24:00,R - 17+ (violence & profanity),True,action drama scifi,mecha military school super power,,in the year 2010 the holy empire of britannia is establishing itself a a dominant military nation starting with the conquest of japan renamed to area 11 after it swift defeat japan ha seen significant resistance against these tyrant in an attempt to regain independence lelouch lamperouge a britannian student unfortunately find himself caught in a crossfire between the britannian and the area 11 rebel armed force he is able to escape however thanks to the timely appearance of a mysterious girl named cc who bestows upon him geass the power of king realizing the vast potential of his newfound power of absolute obedience lelouch embarks upon a perilous journey a the masked vigilante known a zero leading a merciless onslaught against britannia in order to get revenge once and for all written by mal rewrite,code geass hangyaku no lelouch is an original anime series by sunrise animation studio with original character design by the allfemale japanese manga artist group clamp manga and light novel based off the show have been published by kadokawa shoten the show ha sold million of dvd and bluray volume and is extremely popular in both japan and north america the show is known for it multigenre appeal and for it diverse cast of character who face many moral dilemma over the course of the series the last two episode received a preairing on an event july 21 2007 regular broadcasting wa on july 29 2007 the series won the best anime tv series award at the 2007 tokyo international anime fair the best tv animation award at the twelfth animation kobe and the most popular anime award at the animage s 29th annual anime grand prix the series wa rebroadcasted during october 2021 on the animeism programming block to celebrate it 15th anniversary,1575.0,in the year 2010 the holy empire of britannia is establishing itself a a dominant military nation starting with the conquest of japan renamed to area 11 after it swift defeat japan ha seen significant resistance against these tyrant in an attempt to regain independence lelouch lamperouge a britannian student unfortunately find himself caught in a crossfire between the britannian and the area 11 rebel armed force he is able to escape however thanks to the timely appearance of a mysterious girl named cc who bestows upon him geass the power of king realizing the vast potential of his newfound power of absolute obedience lelouch embarks upon a perilous journey a the masked vigilante known a zero leading a merciless onslaught against britannia in order to get revenge once and for all written by mal rewrite,action military scifi super power drama mecha school,"Oct 6, 2006 to Jul 29, 2007",25.0,1231546.0,11.0,31.0,8.76
1535,death note,tv,8.62,2442650,finished airing,37.0,manga,3443330,156956,0 days 00:23:00,R - 17+ (violence & profanity),True,supernatural suspense,psychological,shounen,brutal murder petty theft and senseless violence pollute the human world in contrast the realm of death god is a humdrum unchanging gambling den the ingenious 17yearold japanese student light yagami and sadistic god of death ryuk share one belief their world are rotten for his own amusement ryuk drop his death note into the human world light stumble upon it deeming the first of it rule ridiculous the human whose name is written in this note shall die however the temptation is too great and light experiment by writing a felon name which disturbingly enacts his first murder aware of the terrifying godlike power that ha fallen into his hand lightunder the alias kirafollows his wicked sense of justice with the ultimate goal of cleansing the world of all evildoer the meticulous mastermind detective l is already on his trail but a light brilliance rival l the grand chase for kira turn into an intense battle of wit that can only end when one of them is dead written by mal rewrite,death note ha been adapted into live action film tv drama video game light novel and a musical composed by a broadway composer it is licensed in north america by viz medium,1535.0,a shinigami a a god of death can kill any personprovided they see their victim face and write their victim name in a notebook called a death note one day ryuk bored by the shinigami lifestyle and interested in seeing how a human would use a death note drop one into the human realm high school student and prodigy light yagami stumble upon the death note andsince he deplores the state of the worldtests the deadly notebook by writing a criminal name in it when the criminal dy immediately following his experiment with the death note light is greatly surprised and quickly recognizes how devastating the power that ha fallen into his hand could be with this divine capability light decides to extinguish all criminal in order to build a new world where crime doe not exist and people worship him a a god police however quickly discover that a serial killer is targeting criminal and consequently try to apprehend the culprit to do this the japanese investigator count on the assistance of the best detective in the world a young and eccentric man known only by the name of l written by mal rewrite,mystery police psychological supernatural thriller shounen,"Oct 4, 2006 to Jun 27, 2007",37.0,1871043.0,1.0,52.0,8.65
40748,jujutsu kaisen,tv,8.68,1238757,finished airing,24.0,manga,1907459,71594,0 days 00:23:55,R - 17+ (violence & profanity),True,action fantasy,school,shounen,idly indulging in baseless paranormal activity with the occult club high schooler yuuji itadori spends his day at either the clubroom or the hospital where he visit his bedridden grandfather however this leisurely lifestyle soon take a turn for the strange when he unknowingly encounter a cursed item triggering a chain of supernatural occurrence yuuji find himself suddenly thrust into the world of cursesdreadful being formed from human malice and negativityafter swallowing the said item revealed to be a finger belonging to the demon sukuna ryoumen the king of curse yuuji experience firsthand the threat these curse pose to society a he discovers his own newfound power introduced to the tokyo metropolitan jujutsu technical high school he begin to walk down a path from which he can not returnthe path of a jujutsu sorcerer written by mal rewrite,winner of the anime of the year tv series at the 2022 tokyo anime award festival taaf,40748.0,in a world where demon feed on unsuspecting human fragment of the legendary and feared demon ryoumen sukuna were lost and scattered about should any demon consume sukunas body part the power they gain could destroy the world a we know it fortunately there exists a mysterious school of jujutsu sorcerer who exist to protect the precarious existence of the living from the undead yuuji itadori is high schooler who spends his day visiting his bedridden grandfather although he look like your average teenager his immense physical strength is something to behold every sport club want him to join but itadori would rather hang out with the school outcast in the occult club one day the club manages to get their hand on a sealed cursed object but little do they know the terror theyll unleash when they break the seal source viz medium edited,action horror demons supernatural school shounen,Not available,,2838.0,7565.0,,
23273,your lie in april,tv,8.66,1203524,finished airing,22.0,manga,1955759,79663,0 days 00:22:55,PG-13 - Teens 13 or older,True,drama romance,music school,shounen,kousei arima is a child prodigy known a the human metronome for playing the piano with precision and perfection guided by a strict mother and rigorous training kousei dominates every competition he enters earning the admiration of his musical peer and praise from audience when his mother suddenly pass away the subsequent trauma make him unable to hear the sound of a piano and he never take the stage thereafter nowadays kousei life a quiet and unassuming life a a junior high school student alongside his friend tsubaki sawabe and ryouta watari while struggling to get over his mother death he continues to cling to music his monochrome life turn upside down the day he encounter the eccentric violinist kaori miyazono who thrust him back into the spotlight a her accompanist through a little lie these two young musician grow closer together a kaori try to fill kouseis world with color written by mal rewrite,winner in the anime division of the 2016 sugoi japan award,23273.0,music accompanies the path of the human metronome the prodigious pianist kousei arima but after the passing of his mother saki arima kousei fall into a downward spiral rendering him unable to hear the sound of his own piano two year later kousei still avoids the piano leaving behind his admirer and rival and life a colorless life alongside his friend tsubaki sawabe and ryouta watari however everything change when he meet a beautiful violinist kaori miyazono who stir up his world and set him on a journey to face music again based on the manga series of the same name shigatsu wa kimi no uso approach the story of kouseis recovery a he discovers that music is more than playing each note perfectly and a single melody can bring in the fresh spring air of april written by mal rewrite,drama music romance school shounen,"Oct 10, 2014 to Mar 20, 2015",22.0,995473.0,28.0,24.0,8.83
